CLIENTNUM,Income_Category_Id,Education_Level_Id,Card_Category_Id,Marital_Status_Id,Attrition_Flag,Customer_Age,Months_on_book,Avg_Utilization_Ratio,Total_Ct_Chng_Q4_Q1,Total_Trans_Ct,Total_Trans_Amt,Total_Amt_Chng_Q4_Q1,Avg_Open_To_Buy,Total_Revolving_Bal,Credit_Limit,Contacts_Count_12_mon,Months_Inactive_12_mon,Total_Relationship_Count
708082083,0,1,0,1,0,45.0,36,0.469,0.7340000000000001,111,15149,0.831,1883.0,1661,3544.0,3,3,4
708083283,1,3,0,0,1,58.0,45,0.736,0.4,21,992,0.992,904.0,2517,3421.0,3,1,3
708084558,3,5,0,2,1,46.0,38,0.214,0.0,23,1447,0.0,6487.0,1771,8258.0,3,3,6
708085458,0,0,0,0,0,34.0,24,0.0,0.952,82,3940,0.8270000000000001,1438.3,0,1438.3,2,2,6
708086958,0,0,0,1,0,49.0,41,0.239,0.735,59,4369,0.598,2379.0,749,3128.0,2,5,3
708095133,4,3,0,1,0,43.0,34,0.055,0.381,29,1448,0.428,31471.0,1833,33304.0,2,2,5
708098133,0,3,0,1,0,32.0,19,0.5,0.773,39,1598,1.4580000000000002,1416.0,1418,2834.0,0,1,6
708099183,0,1,0,0,0,37.0,36,0.327,0.853,63,2732,0.851,3850.0,1873,5723.0,2,2,4
708100533,0,2,0,0,0,55.0,36,0.85,0.735,85,4943,0.736,402.0,2277,2679.0,3,3,3
708103608,2,1,0,0,0,52.0,45,0.212,0.73,128,15798,0.745,9381.0,2517,11898.0,1,5,1
708104658,1,3,0,1,0,46.0,36,0.619,1.4,48,2928,1.143,548.3,890,1438.3,2,3,4
708108333,0,3,0,1,1,47.0,36,0.0,0.0,32,1507,0.01,5590.0,0,5590.0,1,3,3
708112008,3,3,0,1,0,56.0,36,0.045,0.29600000000000004,35,1661,0.438,22461.0,1049,23510.0,3,2,4
708113208,0,1,0,1,0,53.0,36,0.0,0.605,69,4375,0.6409999999999999,1688.0,0,1688.0,2,2,3
708117933,0,3,0,2,1,44.0,36,0.0,0.417,34,2469,0.519,1880.0,0,1880.0,3,2,3
708119658,1,3,0,1,0,49.0,38,0.081,0.472,53,2519,0.6629999999999999,11802.0,1034,12836.0,1,2,4
708121908,3,3,0,1,1,48.0,36,0.0,0.5,45,2045,0.574,22917.0,0,22917.0,2,3,2
708123033,0,3,1,0,0,41.0,30,0.0,0.721,105,14511,0.908,11463.0,0,11463.0,1,1,2
708125733,0,2,0,2,0,46.0,36,0.0,0.833,77,4311,0.906,1438.3,0,1438.3,1,3,4
708128733,0,4,0,0,0,50.0,36,0.0,0.623,99,5014,0.852,1814.0,0,1814.0,3,4,5
708129933,0,3,0,0,0,45.0,36,0.745,0.939,64,4210,0.903,528.0,1544,2072.0,2,3,5
708132783,0,0,0,0,0,47.0,42,0.07200000000000001,0.732,71,3929,0.8490000000000001,15232.0,1179,16411.0,2,2,6
708134283,0,0,0,1,0,35.0,36,0.201,0.632,31,1483,0.7490000000000001,2502.0,629,3131.0,3,3,4
708136908,0,3,0,0,0,62.0,53,0.306,0.511,68,4655,0.7190000000000001,1815.0,801,2616.0,2,2,5
708139833,2,3,0,1,1,40.0,30,0.0,0.419,44,2323,0.632,6391.0,0,6391.0,3,2,4
708145908,1,3,0,1,0,61.0,50,0.445,1.088,71,3999,0.66,2721.0,2185,4906.0,0,3,3
708147108,0,3,0,2,0,26.0,36,0.119,0.5429999999999999,71,2309,0.763,18567.0,2517,21084.0,3,1,6
708148158,0,3,0,1,0,39.0,21,0.0,0.792,86,4207,0.563,1827.0,0,1827.0,2,3,2
708151008,1,3,0,1,0,49.0,41,0.103,1.158,41,2433,1.06,5606.0,644,6250.0,2,1,5
708152358,3,4,0,1,1,54.0,36,0.09,0.583,57,8019,0.889,16848.0,1664,18512.0,2,3,1
708153558,4,5,0,2,0,46.0,31,0.052000000000000005,0.485,101,7936,0.871,32714.0,1802,34516.0,2,2,1
708154833,0,3,0,0,1,39.0,27,0.564,0.278,46,2336,0.5710000000000001,627.3,811,1438.3,3,3,1
708155733,4,1,0,0,0,53.0,44,0.111,0.917,23,1289,0.989,13100.0,1634,14734.0,2,2,4
708158133,3,2,0,1,1,45.0,36,0.83,0.389,50,2188,0.409,514.0,2517,3031.0,2,2,3
708160008,4,0,0,1,0,44.0,33,0.031,0.585,84,7412,0.7340000000000001,33458.0,1058,34516.0,3,2,2
708161133,1,3,0,0,0,45.0,32,0.21,0.643,69,3891,0.828,5240.0,1389,6629.0,2,1,5
708162558,0,0,0,1,0,64.0,54,0.613,0.565,36,1355,0.715,1258.0,1992,3250.0,2,1,6
708163758,4,3,0,1,0,41.0,33,0.018000000000000002,0.675,139,13085,0.7240000000000001,33878.0,638,34516.0,3,4,2
708170508,2,3,0,1,1,38.0,36,0.0,0.5,42,1651,0.461,1438.3,0,1438.3,2,3,2
708171858,1,4,0,1,0,33.0,28,0.58,1.75,44,2607,1.416,783.0,1081,1864.0,3,2,5
708173433,1,3,0,0,0,26.0,14,0.412,0.727,57,2482,0.655,3321.0,2324,5645.0,4,2,4
708174708,1,3,0,1,0,38.0,27,0.231,0.9,38,1764,0.636,4259.0,1276,5535.0,4,2,6
708176208,1,3,0,1,0,48.0,36,0.0,0.905,80,4199,0.691,7268.0,0,7268.0,1,4,4
708177333,0,1,1,1,0,51.0,36,0.221,0.857,26,1158,0.736,8776.0,2485,11261.0,0,3,5
708178608,0,3,0,1,0,31.0,36,0.0,0.521,73,4226,1.05,2488.0,0,2488.0,2,2,4
708185208,1,3,0,0,0,27.0,16,0.35200000000000004,0.55,31,2010,0.643,2060.0,1118,3178.0,2,1,4
708186933,2,3,0,0,1,33.0,36,0.399,0.406,45,2254,0.737,1094.0,725,1819.0,2,3,4
708190158,0,1,0,0,1,38.0,26,0.831,0.3670000000000001,41,2750,0.983,494.0,2426,2920.0,0,3,2
708193008,3,0,0,0,0,41.0,30,0.0,0.654,43,1616,0.703,14480.0,0,14480.0,4,3,3
708195633,3,1,1,1,0,40.0,32,0.034,0.5429999999999999,54,2440,0.613,33334.0,1182,34516.0,3,2,5
708197358,3,0,0,1,1,57.0,48,0.009000000000000001,0.703,63,7784,0.882,30279.0,264,30543.0,3,1,4
708204033,0,3,0,0,0,36.0,24,0.7020000000000001,0.667,70,4132,0.522,887.0,2093,2980.0,1,1,3
708205083,0,1,0,1,0,38.0,28,0.0,0.653,81,4815,0.767,1438.3,0,1438.3,3,4,6
708207783,0,1,0,0,0,50.0,42,0.0,0.778,80,4680,0.685,1477.0,0,1477.0,2,3,1
708208758,3,3,0,0,0,53.0,45,0.484,1.0,48,2199,0.953,943.0,883,1826.0,2,3,6
708211383,0,3,0,0,0,35.0,27,0.0,0.574,74,3906,0.731,2664.0,0,2664.0,3,3,3
708212658,0,3,0,1,0,38.0,18,0.575,0.5670000000000001,47,1799,0.8859999999999999,933.0,1260,2193.0,2,3,6
708216108,1,2,0,1,0,56.0,44,0.381,0.857,39,2250,1.248,2531.0,1557,4088.0,4,1,5
708217758,2,3,0,1,0,63.0,49,0.147,1.5,30,1606,2.271,11974.0,2061,14035.0,3,2,5
708219108,3,2,0,2,0,49.0,38,0.115,0.638,77,7300,0.6609999999999999,8816.0,1143,9959.0,3,3,2
708219858,1,3,0,0,0,39.0,26,0.0,0.795,70,4295,1.051,6423.0,0,6423.0,2,3,6
708222558,0,4,0,1,0,37.0,36,0.655,0.833,77,4191,0.682,797.0,1513,2310.0,3,2,6
708223383,0,1,0,1,1,47.0,39,0.086,0.462,38,2736,1.0490000000000002,10431.0,979,11410.0,4,3,6
708224133,1,0,0,0,0,61.0,49,0.664,0.6509999999999999,71,4431,0.5329999999999999,748.0,1480,2228.0,3,2,1
708225483,3,3,0,1,0,47.0,36,0.139,0.8,81,4246,0.8290000000000001,9681.0,1561,11242.0,4,2,3
708226833,4,1,2,1,0,53.0,44,0.024,0.754,107,13247,0.727,33685.0,831,34516.0,3,6,1
708229308,0,3,0,1,1,49.0,41,0.0,0.821,71,6059,0.685,3243.0,0,3243.0,2,2,5
708231183,0,0,0,2,0,30.0,22,0.073,0.674,72,2643,0.856,11629.0,910,12539.0,4,3,5
708234558,0,2,0,2,0,55.0,43,0.598,0.5870000000000001,73,4540,0.6579999999999999,899.0,1340,2239.0,1,2,5
708238833,0,1,0,1,0,57.0,36,0.731,0.579,30,1387,0.408,817.0,2215,3032.0,3,2,6
